akun;text
stevi_tampi;Busetttt, maksa betul nih orang, masyarakat yg dia korbanin, alhasil awal tahun pajak di naikin, bener2 dah, dulu respect bangett sm nih org, skrg bikin geleng2 kepala
faisalabdillahrahmat;Sesuatu yg buru buru ga baik tau kan sifatny siapa?hehe
herry_tjahjono;Gak respek ama mukidi
bregad_adi;Kasian kontraktornya pasti staffnya pada di geber semua|@bregad_adi udah risiko, kalo ga mau kerja keras ya mundur|@neilhimam bukan masalah kerja kerasnya bro. Kadang yg diatasnya lupa ngasih apresiasi😂😂|@neilhimam calon bos😂|@bregad_adi kalo merasa tdk diapresiasi ya mundur, pindah perusahaan lain, hidup ini pilihan bos|@neilhimam oke bos|@bregad_adi saya termasuk yg dapet tender ini nyimak aja|@satrio_wib gass bro yg penting cuan
hndratja;Perpres kepres pepes diobral
harryardiansyah;Jangan maksa pak ....
bang.ahandi;Jgn lupa bayar kontraktor nya pa, yg udah udah proyek sama pemerintah tuh susah bayar
nikosimba;Utang di Toko Bangunan dilunasin dulu.. kasian modalnya kering.. karyawan minta makan..
faisalabdillahrahmat;Ngapa harus buru buru pak jo?
ahmaddanimubarak31;Hari ini A besok B 😮
nyr.huda;Jual BU 🔥
ketaqketiq;Eeehhhh Jokowi Bondowoso???? Wkwkwkk
hiungfs;Padahal tinggal keluarin Keprets perpanjangan masa jabatan kok 😂
eggy.dfz;😂😂😂
antonchigurh2k7;Percepatan mangkrak mksdnya
novahardani;Saking gak lakunya!!!
wadi__p;Maju kena mundur ancuurr...! Rasakno.
sumbermakal;Katanya: SUDAH TAPI BELUM. Bingung sendiri dia 😂😂😂
mohammadrizki17;💩💩💩💩💩💩💩💩💩💩
michaelwijaya705;"PERCUMA, buang"" energi saja"
akbarr_611;Ngebet banget sih pak sampai gak lihat keuangan negara gara gara ikn juga kita kena inflasi 😢😂
rustan_gun;Bisa bebas terbitin perpres kah ? Serius nanya
